uae_maxpool3,uae_maxpool4,JPEG_size,EDGE_DENSITY,SUBBAND_ENTROPY,FEATURE_CONGESTION,FIG_GROUND_CONTRAST,CONTOUR_CONGESTION,evaluation,general_difficulty
0.0879575088620185,0.0282296929508447,116971,0.0194,2.4597,3.3141,0.6542,0.585,1,0
0.0672193989157676,0.0076721617951989,88968,0.0106,2.1627,2.216,0.6625,0.416,1,29
0.0859781950712204,0.0168344266712665,102674,0.017,2.2712,3.0844,0.6647,0.583,1,54
0.0472901500761508,0.0271605495363473,97638,0.0149,2.4174,2.546,0.7342,0.3819,0,0
0.0984221324324607,0.045278500765562,101509,0.012,2.2865,2.2752,0.6813,0.4969,1,19
0.1205471009016037,0.0380257181823253,109769,0.0119,2.5759,2.4095,0.7263,0.5408,1,41
0.1094479039311409,0.0475162267684936,117269,0.0147,2.2154,2.5114,0.7008,0.6381,1,35
0.1054091826081276,0.0466122366487979,115752,0.0146,2.3122,2.5715,0.7298,0.5129,0,19
0.062419306486845,0.0265471786260604,109364,0.0192,2.5301,2.8526,0.6513,0.6075,1,68
0.0827256143093109,0.053132090717554,138002,0.0264,2.9086,3.6448,0.6662,0.632,1,68
0.108145996928215,0.0185677278786897,99667,0.015,2.2197,2.8471,0.6845,0.5425,1,0
0.0693558678030967,0.0387905351817607,112958,0.0178,2.3185,3.0792,0.6762,0.6274,1,0
0.097095713019371,0.0329337008297443,118026,0.0154,2.2073,2.8519,0.6497,0.5595,0,49
0.0834760665893554,0.0337998233735561,101014,0.0142,2.1032,2.4228,0.6811,0.6714,0,41
0.0765869244933128,0.012187061831355,95784,0.0144,2.0986,2.3336,0.704,0.6643,1,41
0.0610067248344421,0.0140908798202872,120398,0.0214,2.7059,3.0556,0.6436,0.5003,1,54
0.0671094954013824,0.0333921089768409,113357,0.0129,2.3814,2.3531,0.6743,0.5982,1,41
0.0632214993238449,0.0136200841516256,95321,0.0106,2.2094,2.1927,0.6435,0.4204,0,29
0.078888401389122,0.0221822690218687,122959,0.0181,2.9852,3.0056,0.712,0.5681,0,54
0.0496118701994419,0.0171465054154396,112979,0.0187,2.4948,2.7735,0.6975,0.5629,1,0
0.0713162869215011,0.0126293841749429,147553,0.0186,2.7685,2.8775,0.6963,0.6273,1,49
0.0566941760480403,0.0166735630482435,122306,0.0125,2.5703,2.4482,0.7235,0.5762,1,41
0.0784543380141258,0.0207038987427949,105607,0.0124,2.0596,2.1764,0.7058,0.5082,1,29
0.0675897002220153,0.0132244285196065,132105,0.0207,2.939,3.1493,0.6774,0.5382,1,0
0.0858580917119979,0.0162038709968328,118143,0.0182,2.6544,2.8974,0.6971,0.5244,1,0
0.0641727745532989,0.0295659638941288,125965,0.0231,2.5801,3.2146,0.6848,0.6575,1,0
0.0903958305716514,0.0179862063378095,102388,0.0157,2.4294,2.6413,0.6681,0.5229,0,0
0.0763236656785011,0.0079536670818924,122032,0.0149,2.1708,2.4747,0.6873,0.6692,1,21
0.0871240645647049,0.0174681432545185,141120,0.0255,3.1023,3.5172,0.6887,0.576,0,68
0.0430887192487716,0.0115916263312101,112774,0.019,2.3804,2.8957,0.6778,0.5996,1,54
0.067003309726715,0.0214507486671209,109970,0.0176,2.3396,2.7741,0.7157,0.6233,0,54
0.0661751702427864,0.0152588486671447,131525,0.0163,2.2356,2.9154,0.6445,0.6993,1,21
0.1103447079658508,0.0183607507497072,110122,0.0159,2.5277,2.5135,0.6676,0.4974,1,29
0.0745146945118904,0.0145677737891674,146065,0.0289,2.9087,4.2589,0.6451,0.5964,1,68
0.0889224037528038,0.0338966026902198,122339,0.0179,2.3473,3.0119,0.6862,0.6213,1,41
0.0834609344601631,0.0125524383038282,117500,0.0146,2.323,2.5045,0.6831,0.5384,0,19
0.0906088054180145,0.0186625178903341,116970,0.0208,2.6629,3.0336,0.6631,0.6196,1,68
0.0522483401000499,0.0140624772757291,109799,0.0172,2.5048,2.8222,0.6653,0.5596,1,0
0.0774300247430801,0.0342287346720695,111019,0.0171,2.3728,2.6887,0.7141,0.5634,0,0
0.041008997708559,0.0221707914024591,132902,0.0197,2.9521,2.9883,0.7071,0.5687,1,0
0.0604762807488441,0.0168628245592117,137792,0.0255,2.7673,3.4498,0.6591,0.5941,1,0
0.0763242021203041,0.0135037722066044,112425,0.0172,2.447,2.7801,0.71,0.5242,1,0
0.0701639950275421,0.0375275127589702,113209,0.0178,2.2994,3.157,0.654,0.6255,0,0
0.039965882897377,0.0154245439916849,127790,0.0181,2.9416,2.9347,0.7031,0.5414,1,54
0.1135981976985931,0.0678150281310081,111012,0.018,2.6158,2.8337,0.6383,0.4705,0,0
0.0605222061276435,0.0168158710002899,120767,0.0198,2.6897,2.9149,0.6691,0.6103,1,54
0.0585612282156944,0.0290648452937603,112321,0.0182,2.2865,2.7362,0.6449,0.634,1,54
0.0674241408705711,0.0329208262264728,131406,0.0226,2.9221,3.1593,0.6465,0.6657,0,68
0.0441551990807056,0.0345177836716175,116897,0.0158,2.5543,2.7262,0.6659,0.5165,1,45
0.1334143429994583,0.1068996265530586,133523,0.0188,2.247,3.125,0.6459,0.695,0,35
0.1210251599550247,0.1173859983682632,117864,0.0166,2.4613,2.7562,0.7227,0.5062,1,29
